Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DNI,DHI,Relative Humidity,Wind Speed
2023,1,6,15,30,6.4,38,0,38,86.23,0.9
2023,1,6,16,30,7.2,149,10,145,83.72,0.9
2023,1,6,17,30,7.800000000000001,200,204,109,81.87,1.4000000000000001
2023,1,6,18,30,8.1,215,91,179,80.13,1.7000000000000002
2023,1,6,19,30,8,76,1,76,80.52,1.6
2023,1,6,20,30,7,14,0,14,88.53,1.4000000000000001
2023,1,6,21,30,5.9,13,49,12,92.2,1.8
2023,1,6,22,30,5.4,0,0,0,92.26,2.4000000000000004
2023,1,6,23,30,4.800000000000001,0,0,0,93.63,2.8000000000000003
2023,1,7,0,30,4.3,0,0,0,94.34,3.2
2023,1,7,1,30,4,0,0,0,93.59,3.4000000000000004
2023,1,7,2,30,3.7,0,0,0,93.14,3.4000000000000004
2023,1,7,3,30,3.4000000000000004,0,0,0,93.14,3.3000000000000003
2023,1,7,4,30,3,0,0,0,93.62,3.2
2023,1,7,5,30,2.4000000000000004,0,0,0,94.95,3
2023,1,7,6,30,1.8,0,0,0,95.73,2.8000000000000003
2023,1,7,7,30,1.2000000000000002,0,0,0,96.37,2.7
2023,1,7,8,30,0.7000000000000001,0,0,0,96.64,2.6
2023,1,7,9,30,0.4,0,0,0,95.86,2.5
2023,1,7,10,30,0.2,0,0,0,95.29,2.5
2023,1,7,11,30,0.4,0,0,0,93.07000000000001,2.6
2023,1,7,12,30,1.3,5,0,5,88.18,2.7
2023,1,7,13,30,2.6,59,6,58,84.64,2.8000000000000003
2023,1,7,14,30,3.9000000000000004,54,6,52,81.53,2.8000000000000003
2023,1,7,15,30,5.1000000000000005,243,165,177,77.14,2.8000000000000003
2023,1,7,16,30,6.1000000000000005,257,91,216,72.34,2.9000000000000004
2023,1,7,17,30,6.7,256,82,219,69.15,2.8000000000000003
2023,1,7,18,30,6.9,116,0,116,67.91,2.7
2023,1,7,19,30,6.5,102,9,99,70.36,2.5
2023,1,7,20,30,5.300000000000001,57,0,57,79.96000000000001,2.4000000000000004
2023,1,7,21,30,4.4,15,58,13,84.65,2.6
2023,1,7,22,30,4.2,0,0,0,85.18,2.9000000000000004
2023,1,7,23,30,3.8000000000000003,0,0,0,87.93,3.1
2023,1,8,0,30,3,0,0,0,91.88,3.2
2023,1,8,1,30,2.2,0,0,0,94.33,3.1
2023,1,8,2,30,1.4000000000000001,0,0,0,96.7,2.9000000000000004
2023,1,8,3,30,0.7000000000000001,0,0,0,98.28,2.8000000000000003
2023,1,8,4,30,0.2,0,0,0,98.25,2.8000000000000003
2023,1,8,5,30,-0.4,0,0,0,98.3,2.7
2023,1,8,6,30,-0.9,0,0,0,97.47,2.7
2023,1,8,7,30,-1.3,0,0,0,96.17,2.6
2023,1,8,8,30,-1.6,0,0,0,94.53,2.5
